cluster_id	sim_ave	sim_min	sim_max	size	composed_go
cluster_0221	0.75673	0.39147	1.00000	217	GO:0016887;GO:0003743;GO:0140640;GO:0120545;GO:0005524;GO:0003676;GO:0008270;GO:0016788;GO:0140657
cluster_0222	0.92852	0.36147	1.00000	522	GO:0004315;GO:0033818
cluster_0223	0.78545	0.47711	1.00000	52	GO:0016716
cluster_0224	0.96987	0.92253	1.00000	9	GO:0140378;GO:0035591
cluster_0225	0.83108	0.36308	1.00000	29	GO:0004106
cluster_0226	0.96533	0.34608	1.00000	794	GO:0003729
cluster_0227	0.94722	0.74865	1.00000	16	GO:0051787;GO:0051087
cluster_0228	0.64349	0.26962	1.00000	464	GO:0016407
cluster_0229	0.66282	0.30134	1.00000	93	GO:0008270;GO:0003700
cluster_0230	0.79791	0.26256	1.00000	339	GO:0010181
cluster_0231	0.80721	0.41772	1.00000	88	GO:0004124
cluster_0232	0.53755	0.26507	1.00000	223	GO:0016628
cluster_0233	0.85866	0.39175	1.00000	163	GO:0016774;GO:0016301;GO:0005524
cluster_0234	0.86180	0.71086	1.00000	10	GO:1990699;GO:0140776
cluster_0235	0.98989	0.68466	1.00000	220	GO:0008081;GO:0090729;GO:0016829
cluster_0236	0.91262	0.57825	1.00000	73	GO:0015343
cluster_0237	0.99720	0.75703	1.00000	326	GO:0008899;GO:0004414
cluster_0238	0.84060	0.38037	1.00000	42	GO:0050750;GO:0008201;GO:0120020;GO:0043395;GO:0005543;GO:0140677;GO:0030234;GO:0035473;GO:0042802;GO:0001540
cluster_0239	0.84003	0.37962	1.00000	100	GO:0019776
cluster_0240	1.00000	1.00000	1.00000	109	GO:0004100
cluster_0241	0.63086	0.28196	1.00000	268	GO:0046873;GO:0005261;GO:0022836
cluster_0242	0.92130	0.77692	1.00000	31	GO:0016857;GO:0030246
cluster_0243	0.92541	0.49803	1.00000	380	GO:0004672;GO:0140299;GO:0005524
cluster_0244	0.83351	0.51387	1.00000	26	GO:0003838
cluster_0245	0.99204	0.96096	1.00000	21	GO:0050046;GO:0000248
cluster_0246	0.92687	0.84294	1.00000	31	GO:0031559
cluster_0247	0.75748	0.35899	1.00000	107	GO:0016405;GO:0015645
cluster_0248	0.86035	0.71554	1.00000	52	GO:0016625
cluster_0249	0.78059	0.33970	1.00000	149	GO:0051539
cluster_0250	0.72981	0.32069	1.00000	213	GO:0016667
cluster_0251	0.98833	0.70367	1.00000	118	GO:0008802
cluster_0252	0.94408	0.40715	1.00000	258	GO:0016655
cluster_0253	0.84848	0.38905	1.00000	178	GO:0008408;GO:0140097;GO:0016779;GO:0003677
cluster_0254	0.96089	0.30024	1.00000	862	GO:0004372;GO:0030170
cluster_0255	0.82343	0.50009	1.00000	46	GO:0051213
cluster_0256	0.99533	0.62193	1.00000	1310	GO:0000976;GO:0003700
cluster_0257	0.92723	0.70000	1.00000	12	GO:0140315;GO:0004322;GO:0008199;GO:0020037
cluster_0258	0.75726	0.43527	1.00000	126	GO:0050018
cluster_0259	0.99999	0.99899	1.00000	566	GO:0141153;GO:0141152;GO:0051287
cluster_0260	0.85859	0.41855	1.00000	831	GO:0000981;GO:0003677;GO:0001216;GO:0001217
cluster_0261	0.99926	0.76955	1.00000	725	GO:0004045;GO:0000049
cluster_0262	0.95728	0.86856	1.00000	16	GO:0008934
cluster_0263	0.96001	0.49974	1.00000	60	GO:0046556
cluster_0264	1.00000	1.00000	1.00000	238	GO:0017080;GO:0090729
cluster_0265	0.69643	0.27985	1.00000	250	GO:0051213;GO:0016701;GO:0005506
cluster_0266	0.82320	0.36158	1.00000	117	GO:0019213;GO:0016811
cluster_0267	0.86975	0.38959	1.00000	371	GO:0016787;GO:0046872
cluster_0268	0.71832	0.27413	1.00000	342	GO:0016874;GO:0005524
cluster_0269	0.99453	0.65258	1.00000	561	GO:0004160;GO:0051537;GO:0000287
cluster_0270	0.88747	0.67700	1.00000	148	GO:0016491
cluster_0271	0.85319	0.25491	1.00000	835	GO:0003779
cluster_0272	0.66530	0.25148	1.00000	589	GO:0004540;GO:0004519;GO:0016788;GO:0140101;GO:0042802;GO:0046872;GO:0003723
cluster_0273	1.00000	1.00000	1.00000	31	GO:0016829;GO:0016491
cluster_0274	0.94536	0.50000	1.00000	80	GO:0031386
cluster_0275	0.99351	0.85404	1.00000	45	GO:0008194;GO:0016758
cluster_0276	0.93905	0.34961	1.00000	899	GO:0003924;GO:0005525
cluster_0277	0.96223	0.48588	1.00000	371	GO:0005085
cluster_0278	0.76432	0.30935	1.00000	736	GO:0003700;GO:0003677;GO:0001067;GO:0003682
cluster_0279	0.79180	0.26504	1.00000	1256	GO:0003700;GO:0003677;GO:0005515
cluster_0280	0.77656	0.37568	1.00000	129	GO:0052866
cluster_0281	0.70996	0.30933	1.00000	33	GO:0141221;GO:0003714;GO:0160009;GO:0140297;GO:0160216;GO:0003682;GO:0019899;GO:0002039;GO:0000978;GO:0141051
cluster_0282	0.76214	0.33821	1.00000	237	GO:0005319;GO:0016887;GO:0140657;GO:0005215;GO:0005524;GO:0170060;GO:0000287;GO:0120544
cluster_0283	0.78911	0.29311	1.00000	1825	GO:0004674;GO:0106310
cluster_0284	0.79255	0.34490	1.00000	744	GO:0015171;GO:0046943;GO:0015293;GO:0015081
cluster_0285	0.92031	0.67272	1.00000	19	GO:0046703
cluster_0286	0.72817	0.47471	1.00000	21	GO:0001540;GO:0051380;GO:0008179;GO:0042802;GO:0004888;GO:0015459;GO:0046983;GO:0044877;GO:0140375;GO:0019903
cluster_0287	0.87487	0.57029	1.00000	39	GO:0045503;GO:0045504
cluster_0288	0.94213	0.75283	1.00000	26	GO:0140410;GO:0005385
cluster_0289	0.74726	0.30837	1.00000	964	GO:0015075;GO:0015267;GO:0015291;GO:0046872
cluster_0290	0.68873	0.30971	1.00000	113	GO:0031593
cluster_0291	0.89196	0.47547	1.00000	301	GO:0003918
cluster_0292	0.78694	0.44200	1.00000	395	GO:0140097;GO:0016886;GO:0003677;GO:0004527;GO:1901363;GO:0016779;GO:0120545;GO:0097367;GO:0043168;GO:0140657
cluster_0293	0.70545	0.29694	1.00000	144	GO:0005539
cluster_0294	0.97250	0.62988	1.00000	191	GO:0005246;GO:0090729
cluster_0295	0.76642	0.25744	1.00000	772	GO:0043565;GO:0003690;GO:0001067;GO:0003700
cluster_0296	0.66573	0.32870	1.00000	164	GO:0008270;GO:0005515
cluster_0297	0.90169	0.41503	1.00000	388	GO:0000156
cluster_0298	0.64897	0.30200	1.00000	745	GO:0016757;GO:0004553;GO:0043169
cluster_0299	0.97549	0.56347	1.00000	228	GO:0090729;GO:0140096;GO:0016787
cluster_0300	0.97051	0.45760	1.00000	305	GO:0005506
cluster_0301	0.80886	0.36467	1.00000	222	GO:0051119
cluster_0302	0.87820	0.27003	1.00000	625	GO:0030246
cluster_0303	0.98445	0.33627	1.00000	2300	GO:0016887
cluster_0304	0.91675	0.46130	1.00000	348	GO:0015291
cluster_0305	0.96924	0.32020	1.00000	571	GO:0043022;GO:0005525
cluster_0306	1.00000	1.00000	1.00000	42	GO:0052693
cluster_0307	0.82451	0.28775	1.00000	105	GO:0043748
cluster_0308	0.99021	0.91191	1.00000	18	GO:0047480;GO:0008766
cluster_0309	0.62559	0.34710	1.00000	133	GO:0016758;GO:0008194
cluster_0310	0.98382	0.61919	1.00000	191	GO:0004359
cluster_0311	0.99877	0.89259	1.00000	522	GO:0016879;GO:0008270;GO:0005524
cluster_0312	0.58103	0.30600	1.00000	503	GO:0005524;GO:0042803
cluster_0313	0.86799	0.76238	1.00000	9	GO:0047280
cluster_0314	0.99323	0.79182	1.00000	304	GO:0008795;GO:0003952;GO:0004359
cluster_0315	0.92142	0.47168	1.00000	141	GO:0009881;GO:0004930
cluster_0316	0.81553	0.45560	1.00000	393	GO:0008233
cluster_0317	0.81851	0.46643	1.00000	30	GO:0016597
cluster_0318	0.90467	0.54962	1.00000	52	GO:0052621
cluster_0319	0.72415	0.40356	1.00000	647	GO:0008173;GO:0008757;GO:0003723;GO:0008170;GO:0140102;GO:0140101
cluster_0320	0.72473	0.25305	1.00000	808	GO:0016791
cluster_0321	0.91579	0.53092	1.00000	111	GO:0035673
cluster_0322	0.90510	0.34756	1.00000	19	GO:0042834
cluster_0323	0.96815	0.53370	1.00000	82	GO:1904680
cluster_0324	0.98703	0.90924	1.00000	14	GO:0016987;GO:0001216;GO:0000976;GO:0016779
cluster_0325	1.00000	1.00000	1.00000	24	GO:0030410
cluster_0326	0.82771	0.40503	1.00000	45	GO:0015344
cluster_0327	0.68662	0.35874	1.00000	32	GO:0015651;GO:0072349;GO:0022804;GO:0030165;GO:0016887;GO:0140657;GO:0005524;GO:0005277;GO:0015171
cluster_0328	0.89889	0.29059	1.00000	241	GO:0016837;GO:0061783
cluster_0329	0.87212	0.38254	1.00000	96	GO:0008658;GO:0009002;GO:0008955
